"","ldf_num","exposureRate","responseCorrect","timestamp","realLabel","trialnum","adjLabel","subID","duration","score","partnerSelection","targetObjectName","phase","typedLabel","method","condition","clickedObject","testCorrect","toBeDropped","appearance","utilityCondition","partnersExposure","estimatedProb","predictions","pred_perf_teaching","pred_perf_partner"
"1",1,4,1,"9:43:12","kiv",1,"",180,7384,30,"2001-600.jpg","2001-600.jpg","game",NA,"point","100_30","kiv",1,0,1,"100_30",0.5,0.617102787859667,"speak","speak","speak"
"2",1,2,0,"9:43:21","toma",2,"toma",180,3918,0,"2006-600.jpg","2009-600.jpg","game","toma","speak","100_30",NA,1,0,1,"100_30",0.5,0.617102787859667,"teach","point","point"
"3",1,1,1,"9:43:28","dax",3,"",180,3250,30,"2002-600.jpg","2002-600.jpg","game",NA,"point","100_30","dax",0,0,1,"100_30",0.5,0.617102787859667,"point","point","point"
"4",1,2,0,"9:43:42","gazzer",4,"gazzer",180,8634,0,"2006-600.jpg","2005-600.jpg","game","kazzer","speak","100_30",NA,1,0,1,"100_30",0.5,0.617102787859667,"speak","point","speak"
"5",1,2,0,"9:43:50","toma",5,"toma",180,5164,0,"2006-600.jpg","2009-600.jpg","game","toma","speak","100_30",NA,1,0,2,"100_30",0.5,0.617102787859667,"speak","speak","teach"
"6",1,4,1,"9:43:57","manu",6,"",180,2964,30,"2007-600.jpg","2007-600.jpg","game",NA,"point","100_30","manu",1,0,1,"100_30",0.5,0.617102787859667,"teach","point","teach"
"7",1,2,1,"9:44:04","kreeb",7,"",180,3019,30,"2056-600.jpg","2056-600.jpg","game",NA,"point","100_30","kreeb",1,0,1,"100_30",0.5,0.617102787859667,"speak","speak","point"
"8",1,1,1,"9:44:12","blicket",8,"",180,2721,30,"2006-600.jpg","2006-600.jpg","game",NA,"point","100_30","blicket",0,0,1,"100_30",0.5,0.617102787859667,"point","point","point"
"9",1,2,1,"9:44:19","kreeb",9,"",180,3165,30,"2056-600.jpg","2056-600.jpg","game",NA,"point","100_30","kreeb",1,0,2,"100_30",0.5,0.617102787859667,"speak","point","speak"
"10",1,2,1,"9:44:26","gazzer",10,"",180,2572,30,"2005-600.jpg","2005-600.jpg","game",NA,"point","100_30","gazzer",1,0,2,"100_30",0.5,0.617102787859667,"speak","speak","teach"
"11",1,4,1,"9:44:32","wug",11,"",180,2470,30,"2023-600.jpg","2023-600.jpg","game",NA,"point","100_30","wug",1,0,1,"100_30",0.5,0.617102787859667,"speak","teach","speak"
"12",1,1,1,"9:44:39","dax",12,"",180,2755,30,"2002-600.jpg","2002-600.jpg","game",NA,"point","100_30","dax",0,0,2,"100_30",0.5,0.617102787859667,"point","point","point"
"13",1,1,1,"9:44:46","blicket",13,"",180,2656,30,"2006-600.jpg","2006-600.jpg","game",NA,"point","100_30","blicket",0,0,2,"100_30",0.5,0.617102787859667,"point","point","speak"
"14",1,1,1,"9:45:00","fep",14,"",180,10100,30,"2025-600.jpg","2025-600.jpg","game",NA,"point","100_30","fep",1,0,1,"100_30",0.5,0.617102787859667,"point","teach","point"
"15",1,4,1,"9:45:05","wug",15,"",180,1904,30,"2023-600.jpg","2023-600.jpg","game",NA,"point","100_30","wug",1,0,2,"100_30",0.5,0.617102787859667,"teach","speak","speak"
"16",1,2,1,"9:45:11","kreeb",16,"",180,1605,30,"2056-600.jpg","2056-600.jpg","game",NA,"point","100_30","kreeb",1,0,3,"100_30",0.5,0.617102787859667,"point","speak","speak"
"17",1,4,1,"9:45:15","kiv",17,"",180,1841,30,"2001-600.jpg","2001-600.jpg","game",NA,"point","100_30","kiv",1,0,2,"100_30",0.5,0.617102787859667,"teach","speak","speak"
"18",1,4,1,"9:45:21","wug",18,"",180,1662,30,"2023-600.jpg","2023-600.jpg","game",NA,"point","100_30","wug",1,0,3,"100_30",0.5,0.617102787859667,"teach","speak","speak"
"19",1,1,1,"9:45:26","blicket",19,"",180,1913,30,"2006-600.jpg","2006-600.jpg","game",NA,"point","100_30","blicket",0,0,3,"100_30",0.5,0.617102787859667,"point","point","point"
"20",1,4,1,"9:45:32","manu",20,"",180,1390,30,"2007-600.jpg","2007-600.jpg","game",NA,"point","100_30","manu",1,0,2,"100_30",0.5,0.617102787859667,"speak","speak","speak"
"21",1,1,1,"9:45:37","dax",21,"",180,1451,30,"2002-600.jpg","2002-600.jpg","game",NA,"point","100_30","dax",0,0,3,"100_30",0.5,0.617102787859667,"point","point","point"
"22",1,2,1,"9:45:41","toma",22,"",180,1471,30,"2009-600.jpg","2009-600.jpg","game",NA,"point","100_30","toma",1,0,3,"100_30",0.5,0.617102787859667,"speak","teach","speak"
"23",1,2,1,"9:45:45","gazzer",23,"",180,1348,30,"2005-600.jpg","2005-600.jpg","game",NA,"point","100_30","gazzer",1,0,3,"100_30",0.5,0.617102787859667,"point","teach","speak"
"24",1,1,1,"9:45:50","fep",24,"",180,1406,30,"2025-600.jpg","2025-600.jpg","game",NA,"point","100_30","fep",1,0,2,"100_30",0.5,0.617102787859667,"teach","teach","point"
"25",1,4,1,"9:45:53","manu",25,"",180,1536,30,"2007-600.jpg","2007-600.jpg","game",NA,"point","100_30","manu",1,0,3,"100_30",0.5,0.617102787859667,"speak","speak","point"
"26",1,4,1,"9:45:57","kiv",26,"",180,1574,30,"2001-600.jpg","2001-600.jpg","game",NA,"point","100_30","kiv",1,0,3,"100_30",0.5,0.617102787859667,"teach","speak","speak"
"27",1,1,1,"9:46:04","fep",27,"",180,1703,30,"2025-600.jpg","2025-600.jpg","game",NA,"point","100_30","fep",1,0,3,"100_30",0.5,0.617102787859667,"speak","speak","teach"
"28",2,1,1,"11:55:08","wug",1,"",110,9031,50,"2023-600.jpg","2023-600.jpg","game",NA,"point","80_50","wug",0,0,1,"80_50",0,0.565188307960911,"point","point","point"
"29",2,2,1,"11:55:19","dax",2,"",110,6333,50,"2006-600.jpg","2006-600.jpg","game",NA,"point","80_50","dax",1,0,1,"80_50",0,0.565188307960911,"point","point","point"
"30",2,4,0,"11:55:26","blicket",3,"blicket",110,4209,-20,"2005-600.jpg","2009-600.jpg","game","blicket","speak","80_50",NA,1,0,1,"80_50",0,0.565188307960911,"point","point","point"
"31",2,4,0,"11:55:41","fep",4,"fep",110,6561,-20,"2001-600.jpg","2056-600.jpg","game","fep","speak","80_50",NA,1,0,1,"80_50",0,0.565188307960911,"speak","teach","teach"
"32",2,1,1,"11:55:46","wug",5,"",110,2704,50,"2023-600.jpg","2023-600.jpg","game",NA,"point","80_50","wug",0,0,2,"80_50",0,0.565188307960911,"point","point","point"
"33",2,2,1,"11:55:53","kreeb",6,"",110,2381,50,"2025-600.jpg","2025-600.jpg","game",NA,"point","80_50","kreeb",1,0,1,"80_50",0,0.565188307960911,"point","point","point"
"34",2,2,1,"11:56:00","dax",7,"",110,2193,50,"2006-600.jpg","2006-600.jpg","game",NA,"point","80_50","dax",1,0,2,"80_50",0,0.565188307960911,"teach","point","point"
"35",2,4,1,"11:56:09","fep",8,"fep",110,5886,30,"2056-600.jpg","2056-600.jpg","game","fep","teach","80_50","fep",1,0,2,"80_50",0,0.565188307960911,"point","speak","speak"
"36",2,2,1,"11:56:18","kreeb",9,"kreeb",110,5309,30,"2025-600.jpg","2025-600.jpg","game","kleep","teach","80_50","kreeb",1,0,2,"80_50",0,0.565188307960911,"point","teach","point"
"37",2,4,1,"11:56:26","toma",10,"toma",110,4499,30,"2007-600.jpg","2007-600.jpg","game","toma","teach","80_50","toma",1,0,1,"80_50",0,0.565188307960911,"teach","point","teach"
"38",2,1,1,"11:56:33","manu",11,"",110,2099,50,"2002-600.jpg","2002-600.jpg","game",NA,"point","80_50","manu",1,0,1,"80_50",0,0.565188307960911,"teach","point","point"
"39",2,1,1,"11:56:41","gazzer",12,"",110,2302,50,"2005-600.jpg","2005-600.jpg","game",NA,"point","80_50","gazzer",1,0,1,"80_50",0,0.565188307960911,"teach","teach","teach"
"40",2,4,1,"11:56:48","blicket",13,"",110,2885,50,"2009-600.jpg","2009-600.jpg","game",NA,"point","80_50","blicket",1,0,2,"80_50",0,0.565188307960911,"teach","point","point"
"41",2,1,1,"11:56:55","wug",14,"",110,2538,50,"2023-600.jpg","2023-600.jpg","game",NA,"point","80_50","wug",0,0,3,"80_50",0,0.565188307960911,"point","point","point"
"42",2,4,0,"11:57:04","blicket",15,"blicket",110,4531,-20,"2023-600.jpg","2009-600.jpg","game","blicket","speak","80_50",NA,1,0,3,"80_50",0,0.565188307960911,"speak","point","point"
"43",2,4,1,"11:57:11","toma",16,"toma",110,3426,80,"2007-600.jpg","2007-600.jpg","game","toma","speak","80_50",NA,1,0,2,"80_50",0,0.565188307960911,"speak","point","point"
"44",2,2,1,"11:57:17","kiv",17,"",110,2322,50,"2001-600.jpg","2001-600.jpg","game",NA,"point","80_50","kiv",0,0,1,"80_50",0,0.565188307960911,"point","point","point"
"45",2,4,1,"11:57:27","toma",18,"toma",110,3515,80,"2007-600.jpg","2007-600.jpg","game","toma","speak","80_50",NA,1,0,3,"80_50",0,0.565188307960911,"point","point","speak"
"46",2,1,1,"11:57:31","manu",19,"",110,2278,50,"2002-600.jpg","2002-600.jpg","game",NA,"point","80_50","manu",1,0,2,"80_50",0,0.565188307960911,"speak","teach","point"
"47",2,1,1,"11:57:38","gazzer",20,"",110,2263,50,"2005-600.jpg","2005-600.jpg","game",NA,"point","80_50","gazzer",1,0,2,"80_50",0,0.565188307960911,"point","speak","speak"
"48",2,4,1,"11:57:47","fep",21,"fep",110,4010,80,"2056-600.jpg","2056-600.jpg","game","fep","speak","80_50",NA,1,0,3,"80_50",0,0.565188307960911,"point","speak","point"
"49",2,2,1,"11:57:56","dax",22,"",110,3685,50,"2006-600.jpg","2006-600.jpg","game",NA,"point","80_50","dax",1,0,3,"80_50",0,0.565188307960911,"speak","point","point"
"50",2,2,1,"11:58:02","kiv",23,"",110,2798,50,"2001-600.jpg","2001-600.jpg","game",NA,"point","80_50","kiv",0,0,2,"80_50",0,0.565188307960911,"point","point","point"
"51",2,2,1,"11:58:10","kreeb",24,"kleep",110,4278,80,"2025-600.jpg","2025-600.jpg","game","kleep","speak","80_50",NA,1,0,3,"80_50",0,0.565188307960911,"teach","speak","point"
"52",2,1,1,"11:58:16","manu",25,"",110,2449,50,"2002-600.jpg","2002-600.jpg","game",NA,"point","80_50","manu",1,0,3,"80_50",0,0.565188307960911,"point","teach","teach"
"53",2,1,1,"11:58:23","gazzer",26,"",110,1993,50,"2005-600.jpg","2005-600.jpg","game",NA,"point","80_50","gazzer",1,0,3,"80_50",0,0.565188307960911,"speak","speak","teach"
"54",2,2,1,"11:58:31","kiv",27,"",110,4456,50,"2001-600.jpg","2001-600.jpg","game",NA,"point","80_50","kiv",0,0,3,"80_50",0,0.565188307960911,"point","point","point"
"55",3,4,1,"11:50:59","dax",1,"dax",31,8159,80,"2001-600.jpg","2001-600.jpg","game","dax","speak","80_50",NA,1,0,1,"80_50",2,0.449097823382252,"point","point","point"
"56",3,2,1,"11:51:10","gazzer",2,"",31,4248,50,"2056-600.jpg","2056-600.jpg","game",NA,"point","80_50","gazzer",0,0,1,"80_50",2,0.449097823382252,"point","point","point"
