"","ldf_num","exposureRate","realLabel","targetObjectName","performance"
"1",1,4,"manu","2007-600.jpg",TRUE
"2",1,2,"toma","2009-600.jpg",TRUE
"3",1,2,"kreeb","2056-600.jpg",TRUE
"4",1,4,"kiv","2001-600.jpg",TRUE
"5",1,4,"wug","2023-600.jpg",TRUE
"6",1,2,"gazzer","2005-600.jpg",TRUE
"7",1,1,"fep","2025-600.jpg",TRUE
"8",1,1,"blicket","2006-600.jpg",FALSE
"9",1,1,"dax","2002-600.jpg",FALSE
"10",2,1,"gazzer","2005-600.jpg",TRUE
"11",2,4,"blicket","2009-600.jpg",TRUE
"12",2,2,"dax","2006-600.jpg",TRUE
"13",2,1,"manu","2002-600.jpg",TRUE
"14",2,2,"kreeb","2025-600.jpg",TRUE
"15",2,4,"toma","2007-600.jpg",TRUE
"16",2,2,"kiv","2001-600.jpg",FALSE
"17",2,1,"wug","2023-600.jpg",FALSE
"18",2,4,"fep","2056-600.jpg",TRUE
"19",3,1,"kreeb","2002-600.jpg",TRUE
"20",3,4,"blicket","2009-600.jpg",TRUE
"21",3,1,"fep","2006-600.jpg",TRUE
"22",3,2,"wug","2005-600.jpg",FALSE
"23",3,2,"gazzer","2056-600.jpg",FALSE
"24",3,2,"kiv","2023-600.jpg",TRUE
"25",3,4,"dax","2001-600.jpg",TRUE
"26",3,4,"manu","2007-600.jpg",TRUE
"27",3,1,"toma","2025-600.jpg",FALSE
"28",4,4,"toma","2009-600.jpg",TRUE
"29",4,4,"blicket","2002-600.jpg",TRUE
"30",4,4,"kiv","2056-600.jpg",TRUE
"31",4,2,"wug","2025-600.jpg",FALSE
"32",4,1,"dax","2007-600.jpg",FALSE
"33",4,2,"gazzer","2023-600.jpg",TRUE
"34",4,2,"manu","2006-600.jpg",FALSE
"35",4,1,"kreeb","2001-600.jpg",FALSE
"36",4,1,"fep","2005-600.jpg",TRUE
"37",7,1,"toma","2006-600.jpg",TRUE
"38",7,2,"wug","2005-600.jpg",TRUE
"39",7,1,"gazzer","2002-600.jpg",TRUE
"40",7,1,"fep","2056-600.jpg",FALSE
"41",7,4,"dax","2009-600.jpg",TRUE
"42",7,2,"manu","2007-600.jpg",FALSE
"43",7,2,"kiv","2025-600.jpg",TRUE
"44",7,4,"blicket","2023-600.jpg",TRUE
"45",7,4,"kreeb","2001-600.jpg",TRUE
"46",8,1,"dax","2006-600.jpg",TRUE
"47",8,2,"wug","2007-600.jpg",TRUE
"48",8,2,"manu","2002-600.jpg",TRUE
"49",8,4,"fep","2056-600.jpg",FALSE
"50",8,4,"toma","2025-600.jpg",TRUE
"51",8,1,"gazzer","2023-600.jpg",FALSE
"52",8,4,"blicket","2009-600.jpg",TRUE
"53",8,1,"kiv","2005-600.jpg",FALSE
"54",8,2,"kreeb","2001-600.jpg",TRUE
"55",9,1,"manu","2001-600.jpg",FALSE
"56",9,4,"kiv","2006-600.jpg",TRUE
"57",9,1,"wug","2023-600.jpg",TRUE
"58",9,1,"gazzer","2009-600.jpg",FALSE
"59",9,4,"kreeb","2002-600.jpg",TRUE
"60",9,2,"dax","2056-600.jpg",FALSE
"61",9,2,"fep","2005-600.jpg",TRUE
"62",9,4,"blicket","2025-600.jpg",TRUE
"63",9,2,"toma","2007-600.jpg",TRUE
"64",10,2,"fep","2007-600.jpg",TRUE
"65",10,2,"wug","2006-600.jpg",TRUE
"66",10,1,"gazzer","2005-600.jpg",FALSE
"67",10,4,"blicket","2025-600.jpg",TRUE
"68",10,4,"manu","2023-600.jpg",TRUE
"69",10,1,"toma","2002-600.jpg",TRUE
"70",10,4,"dax","2009-600.jpg",TRUE
"71",10,1,"kiv","2001-600.jpg",FALSE
"72",10,2,"kreeb","2056-600.jpg",TRUE
"73",11,1,"manu","2056-600.jpg",TRUE
"74",11,2,"gazzer","2002-600.jpg",TRUE
"75",11,1,"kiv","2025-600.jpg",TRUE
"76",11,4,"blicket","2001-600.jpg",TRUE
"77",11,2,"dax","2007-600.jpg",TRUE
"78",11,2,"toma","2023-600.jpg",TRUE
"79",11,4,"fep","2005-600.jpg",TRUE
"80",11,1,"kreeb","2009-600.jpg",TRUE
"81",11,4,"wug","2006-600.jpg",TRUE
"82",12,1,"kiv","2005-600.jpg",TRUE
"83",12,2,"blicket","2056-600.jpg",TRUE
"84",12,2,"kreeb","2009-600.jpg",FALSE
"85",12,2,"toma","2001-600.jpg",TRUE
"86",12,1,"wug","2002-600.jpg",TRUE
"87",12,4,"manu","2025-600.jpg",TRUE
"88",12,4,"fep","2006-600.jpg",TRUE
"89",12,4,"dax","2023-600.jpg",TRUE
"90",12,1,"gazzer","2007-600.jpg",FALSE
"91",13,4,"manu","2002-600.jpg",FALSE
"92",13,4,"toma","2023-600.jpg",TRUE
"93",13,1,"dax","2005-600.jpg",FALSE
"94",13,1,"fep","2009-600.jpg",FALSE
"95",13,2,"kiv","2056-600.jpg",FALSE
"96",13,2,"wug","2025-600.jpg",FALSE
"97",13,2,"blicket","2001-600.jpg",FALSE
"98",13,4,"kreeb","2007-600.jpg",FALSE
"99",13,1,"gazzer","2006-600.jpg",FALSE
"100",15,4,"wug","2023-600.jpg",TRUE
"101",15,1,"fep","2007-600.jpg",FALSE
"102",15,2,"kreeb","2005-600.jpg",TRUE
"103",15,4,"kiv","2002-600.jpg",TRUE
"104",15,1,"dax","2025-600.jpg",FALSE
"105",15,2,"blicket","2006-600.jpg",TRUE
"106",15,2,"gazzer","2001-600.jpg",FALSE
"107",15,1,"toma","2056-600.jpg",FALSE
"108",15,4,"manu","2009-600.jpg",TRUE
"109",16,1,"manu","2009-600.jpg",TRUE
"110",16,4,"kiv","2006-600.jpg",TRUE
"111",16,4,"gazzer","2023-600.jpg",TRUE
"112",16,1,"kreeb","2025-600.jpg",FALSE
"113",16,4,"toma","2002-600.jpg",TRUE
"114",16,1,"fep","2007-600.jpg",TRUE
"115",16,2,"wug","2005-600.jpg",TRUE
"116",16,2,"blicket","2001-600.jpg",TRUE
"117",16,2,"dax","2056-600.jpg",TRUE
"118",18,2,"kreeb","2002-600.jpg",FALSE
"119",18,1,"manu","2006-600.jpg",FALSE
"120",18,1,"toma","2056-600.jpg",TRUE
"121",18,2,"fep","2009-600.jpg",TRUE
"122",18,1,"kiv","2007-600.jpg",FALSE
"123",18,4,"wug","2005-600.jpg",TRUE
"124",18,2,"gazzer","2001-600.jpg",TRUE
"125",18,4,"blicket","2023-600.jpg",TRUE
"126",18,4,"dax","2025-600.jpg",TRUE
"127",19,4,"manu","2025-600.jpg",TRUE
"128",19,1,"kiv","2001-600.jpg",TRUE
"129",19,2,"kreeb","2023-600.jpg",FALSE
"130",19,4,"wug","2056-600.jpg",TRUE
"131",19,2,"toma","2005-600.jpg",TRUE
"132",19,1,"fep","2009-600.jpg",FALSE
"133",19,2,"dax","2007-600.jpg",TRUE
"134",19,1,"gazzer","2006-600.jpg",FALSE
"135",19,4,"blicket","2002-600.jpg",TRUE
"136",21,2,"toma","2023-600.jpg",FALSE
"137",21,4,"kiv","2002-600.jpg",TRUE
"138",21,1,"blicket","2006-600.jpg",TRUE
"139",21,1,"wug","2005-600.jpg",FALSE
"140",21,4,"manu","2001-600.jpg",TRUE
"141",21,2,"gazzer","2009-600.jpg",FALSE
"142",21,4,"kreeb","2007-600.jpg",TRUE
"143",21,2,"fep","2056-600.jpg",FALSE
"144",21,1,"dax","2025-600.jpg",TRUE
"145",22,2,"kiv","2056-600.jpg",TRUE
"146",22,4,"blicket","2025-600.jpg",TRUE
"147",22,2,"wug","2006-600.jpg",TRUE
"148",22,2,"dax","2005-600.jpg",TRUE
"149",22,4,"manu","2002-600.jpg",TRUE
"150",22,1,"fep","2023-600.jpg",TRUE
"151",22,1,"kreeb","2009-600.jpg",TRUE
"152",22,4,"toma","2001-600.jpg",TRUE
"153",22,1,"gazzer","2007-600.jpg",TRUE
"154",23,1,"wug","2007-600.jpg",TRUE
"155",23,1,"gazzer","2025-600.jpg",TRUE
"156",23,4,"blicket","2001-600.jpg",TRUE
"157",23,2,"fep","2056-600.jpg",TRUE
"158",23,2,"kreeb","2002-600.jpg",TRUE
"159",23,2,"manu","2023-600.jpg",TRUE
"160",23,1,"dax","2005-600.jpg",TRUE
"161",23,4,"toma","2006-600.jpg",TRUE
"162",23,4,"kiv","2009-600.jpg",TRUE
"163",25,1,"kiv","2023-600.jpg",TRUE
"164",25,2,"toma","2005-600.jpg",TRUE
"165",25,4,"manu","2007-600.jpg",TRUE
"166",25,2,"dax","2001-600.jpg",FALSE
