"","ldf_num","exposures","label","known","condition","speechCost","pointCost","partnersExposure"
"1",1,4,"manu",TRUE,"100_30",0,70,0.5
"2",1,2,"toma",TRUE,"100_30",0,70,0.5
"3",1,2,"kreeb",TRUE,"100_30",0,70,0.5
"4",1,4,"kiv",TRUE,"100_30",0,70,0.5
"5",1,4,"wug",TRUE,"100_30",0,70,0.5
"6",1,2,"gazzer",TRUE,"100_30",0,70,0.5
"7",1,1,"fep",TRUE,"100_30",0,70,0.5
"8",1,1,"blicket",FALSE,"100_30",0,70,0.5
"9",1,1,"dax",FALSE,"100_30",0,70,0.5
"10",2,1,"gazzer",TRUE,"80_50",20,50,0
"11",2,4,"blicket",TRUE,"80_50",20,50,0
"12",2,2,"dax",TRUE,"80_50",20,50,0
"13",2,1,"manu",TRUE,"80_50",20,50,0
"14",2,2,"kreeb",TRUE,"80_50",20,50,0
"15",2,4,"toma",TRUE,"80_50",20,50,0
"16",2,2,"kiv",FALSE,"80_50",20,50,0
"17",2,1,"wug",FALSE,"80_50",20,50,0
"18",2,4,"fep",TRUE,"80_50",20,50,0
"19",3,1,"kreeb",TRUE,"80_50",20,50,2
"20",3,4,"blicket",TRUE,"80_50",20,50,2
"21",3,1,"fep",TRUE,"80_50",20,50,2
"22",3,2,"wug",FALSE,"80_50",20,50,2
"23",3,2,"gazzer",FALSE,"80_50",20,50,2
"24",3,2,"kiv",TRUE,"80_50",20,50,2
"25",3,4,"dax",TRUE,"80_50",20,50,2
"26",3,4,"manu",TRUE,"80_50",20,50,2
"27",3,1,"toma",FALSE,"80_50",20,50,2
"28",4,4,"toma",TRUE,"100_30",0,70,0.5
"29",4,4,"blicket",TRUE,"100_30",0,70,0.5
"30",4,4,"kiv",TRUE,"100_30",0,70,0.5
"31",4,2,"wug",FALSE,"100_30",0,70,0.5
"32",4,1,"dax",FALSE,"100_30",0,70,0.5
"33",4,2,"gazzer",TRUE,"100_30",0,70,0.5
"34",4,2,"manu",FALSE,"100_30",0,70,0.5
"35",4,1,"kreeb",FALSE,"100_30",0,70,0.5
"36",4,1,"fep",TRUE,"100_30",0,70,0.5
"37",7,1,"toma",TRUE,"100_30",0,70,0
"38",7,2,"wug",TRUE,"100_30",0,70,0
"39",7,1,"gazzer",TRUE,"100_30",0,70,0
"40",7,1,"fep",FALSE,"100_30",0,70,0
"41",7,4,"dax",TRUE,"100_30",0,70,0
"42",7,2,"manu",FALSE,"100_30",0,70,0
"43",7,2,"kiv",TRUE,"100_30",0,70,0
"44",7,4,"blicket",TRUE,"100_30",0,70,0
"45",7,4,"kreeb",TRUE,"100_30",0,70,0
"46",8,1,"dax",TRUE,"80_50",20,50,2
"47",8,2,"wug",TRUE,"80_50",20,50,2
"48",8,2,"manu",TRUE,"80_50",20,50,2
"49",8,4,"fep",FALSE,"80_50",20,50,2
"50",8,4,"toma",TRUE,"80_50",20,50,2
"51",8,1,"gazzer",FALSE,"80_50",20,50,2
"52",8,4,"blicket",TRUE,"80_50",20,50,2
"53",8,1,"kiv",FALSE,"80_50",20,50,2
"54",8,2,"kreeb",TRUE,"80_50",20,50,2
"55",9,1,"manu",FALSE,"80_50",20,50,0
"56",9,4,"kiv",TRUE,"80_50",20,50,0
"57",9,1,"wug",TRUE,"80_50",20,50,0
"58",9,1,"gazzer",FALSE,"80_50",20,50,0
"59",9,4,"kreeb",TRUE,"80_50",20,50,0
"60",9,2,"dax",FALSE,"80_50",20,50,0
"61",9,2,"fep",TRUE,"80_50",20,50,0
"62",9,4,"blicket",TRUE,"80_50",20,50,0
"63",9,2,"toma",TRUE,"80_50",20,50,0
"64",10,2,"fep",TRUE,"100_30",0,70,2
"65",10,2,"wug",TRUE,"100_30",0,70,2
"66",10,1,"gazzer",FALSE,"100_30",0,70,2
"67",10,4,"blicket",TRUE,"100_30",0,70,2
"68",10,4,"manu",TRUE,"100_30",0,70,2
"69",10,1,"toma",TRUE,"100_30",0,70,2
"70",10,4,"dax",TRUE,"100_30",0,70,2
"71",10,1,"kiv",FALSE,"100_30",0,70,2
"72",10,2,"kreeb",TRUE,"100_30",0,70,2
"73",11,1,"manu",TRUE,"80_50",20,50,0.5
"74",11,2,"gazzer",TRUE,"80_50",20,50,0.5
"75",11,1,"kiv",TRUE,"80_50",20,50,0.5
"76",11,4,"blicket",TRUE,"80_50",20,50,0.5
"77",11,2,"dax",TRUE,"80_50",20,50,0.5
"78",11,2,"toma",TRUE,"80_50",20,50,0.5
"79",11,4,"fep",TRUE,"80_50",20,50,0.5
"80",11,1,"kreeb",TRUE,"80_50",20,50,0.5
"81",11,4,"wug",TRUE,"80_50",20,50,0.5
"82",12,1,"kiv",TRUE,"80_50",20,50,2
"83",12,2,"blicket",TRUE,"80_50",20,50,2
"84",12,2,"kreeb",FALSE,"80_50",20,50,2
"85",12,2,"toma",TRUE,"80_50",20,50,2
"86",12,1,"wug",TRUE,"80_50",20,50,2
"87",12,4,"manu",TRUE,"80_50",20,50,2
"88",12,4,"fep",TRUE,"80_50",20,50,2
"89",12,4,"dax",TRUE,"80_50",20,50,2
"90",12,1,"gazzer",FALSE,"80_50",20,50,2
"91",13,4,"manu",FALSE,"80_50",20,50,2
"92",13,4,"toma",TRUE,"80_50",20,50,2
"93",13,1,"dax",FALSE,"80_50",20,50,2
"94",13,1,"fep",FALSE,"80_50",20,50,2
"95",13,2,"kiv",FALSE,"80_50",20,50,2
"96",13,2,"wug",FALSE,"80_50",20,50,2
"97",13,2,"blicket",FALSE,"80_50",20,50,2
"98",13,4,"kreeb",FALSE,"80_50",20,50,2
"99",13,1,"gazzer",FALSE,"80_50",20,50,2
"100",15,4,"wug",TRUE,"80_50",20,50,0
"101",15,1,"fep",FALSE,"80_50",20,50,0
"102",15,2,"kreeb",TRUE,"80_50",20,50,0
"103",15,4,"kiv",TRUE,"80_50",20,50,0
"104",15,1,"dax",FALSE,"80_50",20,50,0
"105",15,2,"blicket",TRUE,"80_50",20,50,0
"106",15,2,"gazzer",FALSE,"80_50",20,50,0
"107",15,1,"toma",FALSE,"80_50",20,50,0
"108",15,4,"manu",TRUE,"80_50",20,50,0
"109",16,1,"manu",TRUE,"100_30",0,70,0.5
"110",16,4,"kiv",TRUE,"100_30",0,70,0.5
"111",16,4,"gazzer",TRUE,"100_30",0,70,0.5
"112",16,1,"kreeb",FALSE,"100_30",0,70,0.5
"113",16,4,"toma",TRUE,"100_30",0,70,0.5
"114",16,1,"fep",TRUE,"100_30",0,70,0.5
"115",16,2,"wug",TRUE,"100_30",0,70,0.5
"116",16,2,"blicket",TRUE,"100_30",0,70,0.5
"117",16,2,"dax",TRUE,"100_30",0,70,0.5
"118",18,2,"kreeb",FALSE,"100_30",0,70,2
"119",18,1,"manu",FALSE,"100_30",0,70,2
"120",18,1,"toma",TRUE,"100_30",0,70,2
"121",18,2,"fep",TRUE,"100_30",0,70,2
"122",18,1,"kiv",FALSE,"100_30",0,70,2
"123",18,4,"wug",TRUE,"100_30",0,70,2
"124",18,2,"gazzer",TRUE,"100_30",0,70,2
"125",18,4,"blicket",TRUE,"100_30",0,70,2
"126",18,4,"dax",TRUE,"100_30",0,70,2
"127",19,4,"manu",TRUE,"80_50",20,50,0.5
"128",19,1,"kiv",TRUE,"80_50",20,50,0.5
"129",19,2,"kreeb",FALSE,"80_50",20,50,0.5
"130",19,4,"wug",TRUE,"80_50",20,50,0.5
"131",19,2,"toma",TRUE,"80_50",20,50,0.5
"132",19,1,"fep",FALSE,"80_50",20,50,0.5
"133",19,2,"dax",TRUE,"80_50",20,50,0.5
"134",19,1,"gazzer",FALSE,"80_50",20,50,0.5
"135",19,4,"blicket",TRUE,"80_50",20,50,0.5
"136",21,2,"toma",FALSE,"100_30",0,70,0
