"","ldf_num","phase","condition","trialnum","score","partnerVocab","targetObjectName","exposureRate","realLabel","method","typedLabel","adjLabel","clickedObject","responseCorrect","partnerSelection","timestamp","duration","testCorrect","trueClickPoints","trueLabelPoints","toBeDropped","appearance","manipFail","usedEnglishLabels","utilityCondition","partnersExposure","estimatedProb","predictions"
"1",1,"game","100_30",1,30,"character(0)","2002-600.jpg",1,"manu","point",NA,"","manu",1,"2002-600.jpg","16:04:01",21851,0,30,100,0,1,0,0,"100_30",0,0.394242722207185,"point"
"2",1,"game","100_30",2,30,"c(""dax"", ""2005-600.jpg"")","2005-600.jpg",2,"dax","teach","dax","dax","dax",1,"2005-600.jpg","16:04:21",14411,1,30,100,0,1,0,0,"100_30",0,0.394242722207185,"point"
"3",1,"game","100_30",3,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"")","2002-600.jpg",1,"manu","teach","manu","manu","manu",1,"2002-600.jpg","16:04:34",7930,0,30,100,0,2,0,0,"100_30",0,0.394242722207185,"point"
"4",1,"game","100_30",4,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"")","2009-600.jpg",1,"kiv","teach","kiv","kiv","kiv",1,"2009-600.jpg","16:04:45",7001,1,30,100,0,1,0,0,"100_30",0,0.394242722207185,"teach"
"5",1,"game","100_30",5,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"")","2023-600.jpg",2,"toma","teach","toma","toma","toma",1,"2023-600.jpg","16:05:00",10474,1,30,100,0,1,0,0,"100_30",0,0.394242722207185,"teach"
"6",1,"game","100_30",6,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"")","2056-600.jpg",4,"blicket","teach","blicket","blicket","blicket",1,"2056-600.jpg","16:05:10",5866,1,30,100,0,1,0,0,"100_30",0,0.394242722207185,"teach"
"7",1,"game","100_30",7,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"")","2001-600.jpg",1,"wug","teach","wug","wug","wug",1,"2001-600.jpg","16:05:22",6193,1,30,100,0,1,0,0,"100_30",0,0.394242722207185,"teach"
"8",1,"game","100_30",8,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"")","2025-600.jpg",2,"fep","point",NA,"","fep",1,"2025-600.jpg","16:05:30",4024,0,30,100,0,1,0,0,"100_30",0,0.394242722207185,"point"
"9",1,"game","100_30",9,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"")","2001-600.jpg",1,"wug","teach","wug","wug","wug",1,"2001-600.jpg","16:05:39",5768,1,30,100,0,2,0,0,"100_30",0,0.394242722207185,"speak"
"10",1,"game","100_30",10,100,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"")","2002-600.jpg",1,"manu","speak","manu","manu",NA,1,"2002-600.jpg","16:05:52",7811,0,30,100,0,3,0,0,"100_30",0,0.394242722207185,"point"
"11",1,"game","100_30",11,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"", ""gazzer"", ""2007-600.jpg"")","2007-600.jpg",4,"gazzer","teach","gazzer","gazzer","gazzer",1,"2007-600.jpg","16:06:03",6761,1,30,100,0,1,0,0,"100_30",0,0.394242722207185,"teach"
"12",1,"game","100_30",12,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"", ""gazzer"", ""2007-600.jpg"", ""kreeb"", ""2006-600.jpg"")","2006-600.jpg",4,"kreeb","teach","kreeb","kreeb","kreeb",1,"2006-600.jpg","16:06:17",7848,0,30,100,0,1,0,0,"100_30",0,0.394242722207185,"point"
