"","ldf_num","exposureRate","responseCorrect","timestamp","realLabel","trialnum","partnersExposure","adjLabel","subID","duration","score","partnerSelection","targetObjectName","phase","typedLabel","method","condition","clickedObject","testCorrect","toBeDropped"
"1",1,4,1,"9:43:12","kiv",1,"Half","","180",7384,30,"2001-600.jpg","2001-600.jpg","game",NA,"click","100_30","kiv",1,0
"2",1,2,0,"9:43:21","toma",2,"Half","toma","180",3918,0,"2006-600.jpg","2009-600.jpg","game","toma","label","100_30",NA,1,0
"3",1,1,1,"9:43:28","dax",3,"Half","","180",3250,30,"2002-600.jpg","2002-600.jpg","game",NA,"click","100_30","dax",0,0
"4",1,2,0,"9:43:42","gazzer",4,"Half","gazzer","180",8634,0,"2006-600.jpg","2005-600.jpg","game","kazzer","label","100_30",NA,1,0
"5",1,2,0,"9:43:50","toma",5,"Half","toma","180",5164,0,"2006-600.jpg","2009-600.jpg","game","toma","label","100_30",NA,1,0
"6",1,4,1,"9:43:57","manu",6,"Half","","180",2964,30,"2007-600.jpg","2007-600.jpg","game",NA,"click","100_30","manu",1,0
"7",1,2,1,"9:44:04","kreeb",7,"Half","","180",3019,30,"2056-600.jpg","2056-600.jpg","game",NA,"click","100_30","kreeb",1,0
"8",1,1,1,"9:44:12","blicket",8,"Half","","180",2721,30,"2006-600.jpg","2006-600.jpg","game",NA,"click","100_30","blicket",0,0
"9",1,2,1,"9:44:19","kreeb",9,"Half","","180",3165,30,"2056-600.jpg","2056-600.jpg","game",NA,"click","100_30","kreeb",1,0
"10",1,2,1,"9:44:26","gazzer",10,"Half","","180",2572,30,"2005-600.jpg","2005-600.jpg","game",NA,"click","100_30","gazzer",1,0
"11",1,4,1,"9:44:32","wug",11,"Half","","180",2470,30,"2023-600.jpg","2023-600.jpg","game",NA,"click","100_30","wug",1,0
"12",1,1,1,"9:44:39","dax",12,"Half","","180",2755,30,"2002-600.jpg","2002-600.jpg","game",NA,"click","100_30","dax",0,0
"13",1,1,1,"9:44:46","blicket",13,"Half","","180",2656,30,"2006-600.jpg","2006-600.jpg","game",NA,"click","100_30","blicket",0,0
"14",1,1,1,"9:45:00","fep",14,"Half","","180",10100,30,"2025-600.jpg","2025-600.jpg","game",NA,"click","100_30","fep",1,0
"15",1,4,1,"9:45:05","wug",15,"Half","","180",1904,30,"2023-600.jpg","2023-600.jpg","game",NA,"click","100_30","wug",1,0
"16",1,2,1,"9:45:11","kreeb",16,"Half","","180",1605,30,"2056-600.jpg","2056-600.jpg","game",NA,"click","100_30","kreeb",1,0
"17",1,4,1,"9:45:15","kiv",17,"Half","","180",1841,30,"2001-600.jpg","2001-600.jpg","game",NA,"click","100_30","kiv",1,0
"18",1,4,1,"9:45:21","wug",18,"Half","","180",1662,30,"2023-600.jpg","2023-600.jpg","game",NA,"click","100_30","wug",1,0
"19",1,1,1,"9:45:26","blicket",19,"Half","","180",1913,30,"2006-600.jpg","2006-600.jpg","game",NA,"click","100_30","blicket",0,0
"20",1,4,1,"9:45:32","manu",20,"Half","","180",1390,30,"2007-600.jpg","2007-600.jpg","game",NA,"click","100_30","manu",1,0
"21",1,1,1,"9:45:37","dax",21,"Half","","180",1451,30,"2002-600.jpg","2002-600.jpg","game",NA,"click","100_30","dax",0,0
"22",1,2,1,"9:45:41","toma",22,"Half","","180",1471,30,"2009-600.jpg","2009-600.jpg","game",NA,"click","100_30","toma",1,0
"23",1,2,1,"9:45:45","gazzer",23,"Half","","180",1348,30,"2005-600.jpg","2005-600.jpg","game",NA,"click","100_30","gazzer",1,0
"24",1,1,1,"9:45:50","fep",24,"Half","","180",1406,30,"2025-600.jpg","2025-600.jpg","game",NA,"click","100_30","fep",1,0
"25",1,4,1,"9:45:53","manu",25,"Half","","180",1536,30,"2007-600.jpg","2007-600.jpg","game",NA,"click","100_30","manu",1,0
"26",1,4,1,"9:45:57","kiv",26,"Half","","180",1574,30,"2001-600.jpg","2001-600.jpg","game",NA,"click","100_30","kiv",1,0
"27",1,1,1,"9:46:04","fep",27,"Half","","180",1703,30,"2025-600.jpg","2025-600.jpg","game",NA,"click","100_30","fep",1,0
"28",2,1,1,"11:55:08","wug",1,"None","","110",9031,50,"2023-600.jpg","2023-600.jpg","game",NA,"click","80_50","wug",0,0
"29",2,2,1,"11:55:19","dax",2,"None","","110",6333,50,"2006-600.jpg","2006-600.jpg","game",NA,"click","80_50","dax",1,0
"30",2,4,0,"11:55:26","blicket",3,"None","blicket","110",4209,-20,"2005-600.jpg","2009-600.jpg","game","blicket","label","80_50",NA,1,0
"31",2,4,0,"11:55:41","fep",4,"None","fep","110",6561,-20,"2001-600.jpg","2056-600.jpg","game","fep","label","80_50",NA,1,0
"32",2,1,1,"11:55:46","wug",5,"None","","110",2704,50,"2023-600.jpg","2023-600.jpg","game",NA,"click","80_50","wug",0,0
"33",2,2,1,"11:55:53","kreeb",6,"None","","110",2381,50,"2025-600.jpg","2025-600.jpg","game",NA,"click","80_50","kreeb",1,0
"34",2,2,1,"11:56:00","dax",7,"None","","110",2193,50,"2006-600.jpg","2006-600.jpg","game",NA,"click","80_50","dax",1,0
"35",2,4,1,"11:56:09","fep",8,"None","fep","110",5886,30,"2056-600.jpg","2056-600.jpg","game","fep","label_click","80_50","fep",1,0
"36",2,2,1,"11:56:18","kreeb",9,"None","kreeb","110",5309,30,"2025-600.jpg","2025-600.jpg","game","kleep","label_click","80_50","kreeb",1,0
"37",2,4,1,"11:56:26","toma",10,"None","toma","110",4499,30,"2007-600.jpg","2007-600.jpg","game","toma","label_click","80_50","toma",1,0
"38",2,1,1,"11:56:33","manu",11,"None","","110",2099,50,"2002-600.jpg","2002-600.jpg","game",NA,"click","80_50","manu",1,0
"39",2,1,1,"11:56:41","gazzer",12,"None","","110",2302,50,"2005-600.jpg","2005-600.jpg","game",NA,"click","80_50","gazzer",1,0
"40",2,4,1,"11:56:48","blicket",13,"None","","110",2885,50,"2009-600.jpg","2009-600.jpg","game",NA,"click","80_50","blicket",1,0
"41",2,1,1,"11:56:55","wug",14,"None","","110",2538,50,"2023-600.jpg","2023-600.jpg","game",NA,"click","80_50","wug",0,0
"42",2,4,0,"11:57:04","blicket",15,"None","blicket","110",4531,-20,"2023-600.jpg","2009-600.jpg","game","blicket","label","80_50",NA,1,0
"43",2,4,1,"11:57:11","toma",16,"None","toma","110",3426,80,"2007-600.jpg","2007-600.jpg","game","toma","label","80_50",NA,1,0
"44",2,2,1,"11:57:17","kiv",17,"None","","110",2322,50,"2001-600.jpg","2001-600.jpg","game",NA,"click","80_50","kiv",0,0
"45",2,4,1,"11:57:27","toma",18,"None","toma","110",3515,80,"2007-600.jpg","2007-600.jpg","game","toma","label","80_50",NA,1,0
"46",2,1,1,"11:57:31","manu",19,"None","","110",2278,50,"2002-600.jpg","2002-600.jpg","game",NA,"click","80_50","manu",1,0
"47",2,1,1,"11:57:38","gazzer",20,"None","","110",2263,50,"2005-600.jpg","2005-600.jpg","game",NA,"click","80_50","gazzer",1,0
"48",2,4,1,"11:57:47","fep",21,"None","fep","110",4010,80,"2056-600.jpg","2056-600.jpg","game","fep","label","80_50",NA,1,0
"49",2,2,1,"11:57:56","dax",22,"None","","110",3685,50,"2006-600.jpg","2006-600.jpg","game",NA,"click","80_50","dax",1,0
"50",2,2,1,"11:58:02","kiv",23,"None","","110",2798,50,"2001-600.jpg","2001-600.jpg","game",NA,"click","80_50","kiv",0,0
"51",2,2,1,"11:58:10","kreeb",24,"None","kleep","110",4278,80,"2025-600.jpg","2025-600.jpg","game","kleep","label","80_50",NA,1,0
"52",2,1,1,"11:58:16","manu",25,"None","","110",2449,50,"2002-600.jpg","2002-600.jpg","game",NA,"click","80_50","manu",1,0
"53",2,1,1,"11:58:23","gazzer",26,"None","","110",1993,50,"2005-600.jpg","2005-600.jpg","game",NA,"click","80_50","gazzer",1,0
"54",2,2,1,"11:58:31","kiv",27,"None","","110",4456,50,"2001-600.jpg","2001-600.jpg","game",NA,"click","80_50","kiv",0,0
"55",3,4,1,"11:50:59","dax",1,"Perfect","dax","31",8159,80,"2001-600.jpg","2001-600.jpg","game","dax","label","80_50",NA,1,0
"56",3,2,1,"11:51:10","gazzer",2,"Perfect","","31",4248,50,"2056-600.jpg","2056-600.jpg","game",NA,"click","80_50","gazzer",0,0
"57",3,2,1,"11:51:20","wug",3,"Perfect","","31",4080,50,"2005-600.jpg","2005-600.jpg","game",NA,"click","80_50","wug",0,0
"58",3,2,1,"11:51:34","gazzer",4,"Perfect","","31",8911,50,"2056-600.jpg","2056-600.jpg","game",NA,"click","80_50","gazzer",0,0
"59",3,2,1,"11:51:41","wug",5,"Perfect","","31",2528,50,"2005-600.jpg","2005-600.jpg","game",NA,"click","80_50","wug",0,0
"60",3,4,1,"11:51:49","dax",6,"Perfect","dax","31",3817,80,"2001-600.jpg","2001-600.jpg","game","dax","label","80_50",NA,1,0
"61",3,2,1,"11:51:58","kiv",7,"Perfect","kiv","31",4024,80,"2023-600.jpg","2023-600.jpg","game","kiv","label","80_50",NA,1,0
"62",3,4,1,"11:52:06","manu",8,"Perfect","manu","31",3537,80,"2007-600.jpg","2007-600.jpg","game","manu","label","80_50",NA,1,0
"63",3,2,1,"11:52:15","gazzer",9,"Perfect","","31",4920,50,"2056-600.jpg","2056-600.jpg","game",NA,"click","80_50","gazzer",0,0
"64",3,4,1,"11:52:23","blicket",10,"Perfect","blicket","31",4744,80,"2009-600.jpg","2009-600.jpg","game","blicket","label","80_50",NA,1,0
"65",3,1,1,"11:52:34","kreeb",11,"Perfect","kreeb","31",6328,80,"2002-600.jpg","2002-600.jpg","game","kleeb","label","80_50",NA,1,0
"66",3,1,1,"11:52:41","toma",12,"Perfect","","31",2529,50,"2025-600.jpg","2025-600.jpg","game",NA,"click","80_50","toma",0,0
"67",3,1,1,"11:52:52","fep",13,"Perfect","fep","31",6920,80,"2006-600.jpg","2006-600.jpg","game","feb","label","80_50",NA,1,0
"68",3,1,1,"11:52:58","kreeb",14,"Perfect","kreeb","31",4016,80,"2002-600.jpg","2002-600.jpg","game","kleeb","label","80_50",NA,1,0
"69",3,4,1,"11:53:03","dax",15,"Perfect","dax","31",2800,80,"2001-600.jpg","2001-600.jpg","game","dax","label","80_50",NA,1,0
"70",3,2,1,"11:53:09","kiv",16,"Perfect","kiv","31",3281,80,"2023-600.jpg","2023-600.jpg","game","kiv","label","80_50",NA,1,0
"71",3,2,1,"11:53:15","wug",17,"Perfect","","31",2280,50,"2005-600.jpg","2005-600.jpg","game",NA,"click","80_50","wug",0,0
"72",3,1,1,"11:53:24","fep",18,"Perfect","fep","31",4512,80,"2006-600.jpg","2006-600.jpg","game","feb","label","80_50",NA,1,0
"73",3,1,1,"11:53:30","toma",19,"Perfect","","31",3208,50,"2025-600.jpg","2025-600.jpg","game",NA,"click","80_50","toma",0,0
"74",3,4,1,"11:53:38","manu",20,"Perfect","manu","31",3888,80,"2007-600.jpg","2007-600.jpg","game","manu","label","80_50",NA,1,0
"75",3,1,1,"11:53:46","kreeb",21,"Perfect","kreeb","31",5135,80,"2002-600.jpg","2002-600.jpg","game","kleeb","label","80_50",NA,1,0
"76",3,2,1,"11:53:54","kiv",22,"Perfect","kiv","31",3312,80,"2023-600.jpg","2023-600.jpg","game","kiv","label","80_50",NA,1,0
"77",3,4,1,"11:54:02","manu",23,"Perfect","manu","31",4737,80,"2007-600.jpg","2007-600.jpg","game","manu","label","80_50",NA,1,0
"78",3,4,1,"11:54:12","blicket",24,"Perfect","blicket","31",6961,80,"2009-600.jpg","2009-600.jpg","game","blicket","label","80_50",NA,1,0
"79",3,1,1,"11:54:19","fep",25,"Perfect","fep","31",4145,80,"2006-600.jpg","2006-600.jpg","game","feb","label","80_50",NA,1,0
"80",3,4,1,"11:54:26","blicket",26,"Perfect","blicket","31",2977,80,"2009-600.jpg","2009-600.jpg","game","blicket","label","80_50",NA,1,0
"81",3,1,1,"11:54:38","toma",27,"Perfect","","31",8448,50,"2025-600.jpg","2025-600.jpg","game",NA,"click","80_50","toma",0,0
"82",4,2,0,"12:13:28","wug",1,"Half","kiv","163",23641,0,"2056-600.jpg","2025-600.jpg","game","bic","label","100_30",NA,0,0
"83",4,4,1,"12:13:35","kiv",2,"Half","kiv","163",3063,100,"2056-600.jpg","2056-600.jpg","game","kiv","label","100_30",NA,1,0
"84",4,4,1,"12:13:41","toma",3,"Half","toma","163",2552,100,"2009-600.jpg","2009-600.jpg","game","toma","label","100_30",NA,1,0
"85",4,2,0,"12:13:49","wug",4,"Half","kiv","163",3224,0,"2056-600.jpg","2025-600.jpg","game","bic","label","100_30",NA,0,0
"86",4,4,1,"12:13:55","toma",5,"Half","toma","163",3257,100,"2009-600.jpg","2009-600.jpg","game","toma","label","100_30",NA,1,0
"87",4,2,1,"12:14:03","manu",6,"Half","","163",2440,30,"2006-600.jpg","2006-600.jpg","game",NA,"click","100_30","manu",0,0
"88",4,1,1,"12:14:10","dax",7,"Half","","163",2464,30,"2007-600.jpg","2007-600.jpg","game",NA,"click","100_30","dax",0,0
"89",4,1,1,"12:14:17","kreeb",8,"Half","","163",2792,30,"2001-600.jpg","2001-600.jpg","game",NA,"click","100_30","kreeb",0,0
"90",4,2,0,"12:14:25","gazzer",9,"Half","gazzer","163",3352,0,"2006-600.jpg","2023-600.jpg","game","gazzer","label","100_30",NA,1,0
"91",4,2,1,"12:14:31","wug",10,"Half","","163",2721,30,"2025-600.jpg","2025-600.jpg","game",NA,"click","100_30","wug",0,0
"92",4,2,1,"12:14:37","gazzer",11,"Half","","163",2681,30,"2023-600.jpg","2023-600.jpg","game",NA,"click","100_30","gazzer",1,0
"93",4,4,0,"12:14:44","blicket",12,"Half","blicket","163",4495,0,"2023-600.jpg","2002-600.jpg","game","blicket","label","100_30",NA,1,0
"94",4,4,1,"12:14:53","toma",13,"Half","toma","163",3240,100,"2009-600.jpg","2009-600.jpg","game","toma","label","100_30",NA,1,0
"95",4,1,1,"12:15:00","fep",14,"Half","","163",4289,30,"2005-600.jpg","2005-600.jpg","game",NA,"click","100_30","fep",1,0
"96",4,4,1,"12:15:07","kiv",15,"Half","kiv","163",2728,100,"2056-600.jpg","2056-600.jpg","game","kiv","label","100_30",NA,1,0
"97",4,1,0,"12:15:14","fep",16,"Half","fep","163",5151,0,"2023-600.jpg","2005-600.jpg","game","feb","label","100_30",NA,1,0
"98",4,1,1,"12:15:21","dax",17,"Half","","163",1825,30,"2007-600.jpg","2007-600.jpg","game",NA,"click","100_30","dax",0,0
"99",4,2,1,"12:15:26","manu",18,"Half","","163",1656,30,"2006-600.jpg","2006-600.jpg","game",NA,"click","100_30","manu",0,0
"100",4,1,1,"12:15:30","fep",19,"Half","","163",1393,30,"2005-600.jpg","2005-600.jpg","game",NA,"click","100_30","fep",1,0
"101",4,2,1,"12:15:35","manu",20,"Half","","163",2008,30,"2006-600.jpg","2006-600.jpg","game",NA,"click","100_30","manu",0,0
"102",4,1,1,"12:15:39","dax",21,"Half","","163",1609,30,"2007-600.jpg","2007-600.jpg","game",NA,"click","100_30","dax",0,0
"103",4,4,1,"12:15:44","blicket",22,"Half","","163",1712,30,"2002-600.jpg","2002-600.jpg","game",NA,"click","100_30","blicket",1,0
"104",4,1,1,"12:15:50","kreeb",23,"Half","","163",1936,30,"2001-600.jpg","2001-600.jpg","game",NA,"click","100_30","kreeb",0,0
